Country,Count,Participation,,2024,2025,2026,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,Serbia,,,,,
,,Slovakia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Turkey,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Bosnia and Herzegovina,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,Serbia,,,,,
,,Slovakia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Turkey,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Bosnia and Herzegovina,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovakia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Turkey,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Bosnia and Herzegovina,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovakia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Turkey,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Bosnia and Herzegovina,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Hungary,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belarus,,,,,
,,Belgium,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belgium,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,Russia,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belgium,,,,,
,,Bulgaria,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Montenegro,,,,,
,,Netherlands,,,,,
,,North Macedonia,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
,,Albania,,,,,
,,Armenia,,,,,
,,Australia,,,,,
,,Austria,,,,,
,,Azerbaijan,,,,,
,,Belgium,,,,,
,,Croatia,,,,,
,,Cyprus,,,,,
,,Czech Republic,,,,,
,,Denmark,,,,,
,,Estonia,,,,,
,,Finland,,,,,
,,France,,,,,
,,Georgia,,,,,
,,Germany,,,,,
,,Greece,,,,,
,,Iceland,,,,,
,,Ireland,,,,,
,,Israel,,,,,
,,Italy,,,,,
,,Latvia,,,,,
,,Lithuania,,,,,
,,Malta,,,,,
,,Moldova,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Poland,,,,,
,,Portugal,,,,,
,,Romania,,,,,
,,San Marino,,,,,
,,Serbia,,,,,
,,Slovenia,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,Ukraine,,,,,
,,United Kingdom,,,,,
